"minutes.elapsed","Date","map","num_players","Nick","Kills","Deaths","Damage.Dealt","Damage.Taken","Score","Perf","ELO","UnknownHeader","GT.kills","GT.acc","GT.shots.hit","GT.shots.fired","MG.kills","MG.acc","MG.shots.hit","MG.shots.fired","SG.kills","SG.acc","SG.shots.hit","SG.shots.fired","GL.kills","GL.acc","GL.shots.hit"," GL.shots.fired","RL.kills","RL.acc","RL.shots.hit","RL.shots.fired","LG.kills","LG.acc","LG.shots.hit","LG.shots.fired","RG.kills","RG.acc","RG.shots.hit","RG.shots.fired","PG.kills","PG.acc","PG.shots.hit","PG.shots.fired","HMG.kills","HMG.acc","HMG.shots.hit","HMG.shots.fired","BFG.kills","BFG.acc","BFG.shots.hit","BFG.shots.fired","PM.kills","PM.acc","PM.shots.hit","PM.shots.fired","CG.kills","CG.acc","CG.shots.hit","CG.shots.fired","NG.kills","NG.acc","NG.shots.hit","NG.shots.fired","win"
5.91666666666667,"6/25/2017 16:26","demonkeep",21,"odt",30,23,3894,3014,28,28,2489,"odt",0,0,0,0,11,45,237,528,4,32,148,460,0,14,1,7,4,50,14,28,3,35,56,162,0,0,0,0,0,13,7,55,8,40,98,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.73333333333333,"6/25/2017 16:18","dredwerkz",21,"odt",38,20,5752,2906,37,37,2498,"odt",1,0,0,0,7,42,146,350,8,29,174,600,0,0,0,0,5,48,11,23,4,50,113,224,5,63,12,19,3,10,11,114,5,37,108,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.4,"6/25/2017 16:10","spacechamber",18,"odt",25,25,4131,3231,25,25,2514,"odt",0,0,0,0,5,48,199,414,9,39,209,540,0,0,0,0,3,64,16,25,0,0,0,0,2,89,8,9,1,8,7,84,5,46,87,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.45,"6/25/2017 16:04","trinity",21,"odt",47,20,5629,2821,46,46,2511,"odt",1,0,0,0,4,44,144,325,4,46,101,220,1,14,1,7,0,0,0,0,10,50,173,344,2,57,4,7,2,24,10,41,23,34,206,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.95,"6/25/2017 15:57","bloodrun",28,"odt",44,17,6332,2286,42,42,2507,"odt",0,0,0,0,3,55,97,177,13,39,324,840,2,71,5,7,7,69,24,35,10,44,178,407,2,77,10,13,7,20,44,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.75,"6/25/2017 15:51","heroskeep",26,"odt",45,20,5719,2484,44,44,2504,"odt",2,0,0,0,15,51,337,666,0,0,0,0,0,0,0,0,0,0,0,0,11,37,198,540,14,68,21,31,3,25,21,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.15,"6/22/2017 21:41","spacechamber",14,"odt",51,23,6591,3019,50,50,2501,"odt",1,0,0,0,5,47,148,312,2,35,85,240,0,0,0,0,12,62,24,39,0,0,0,0,3,82,9,11,2,31,20,65,20,42,254,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.73333333333333,"6/22/2017 21:34","almostlost",16,"odt",50,7,5956,1633,50,50,2497,"odt",0,0,0,0,3,64,56,87,4,38,84,220,0,0,0,0,6,78,14,18,20,44,413,932,0,0,0,0,2,40,6,15,15,39,166,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.66666666666667,"6/22/2017 21:27","overkill",15,"odt",53,31,7198,4301,50,50,2496,"odt",2,0,0,0,8,46,322,705,9,37,170,460,1,25,1,4,3,52,13,25,9,34,151,447,5,89,8,9,0,20,5,25,16,36,213,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.86666666666667,"6/22/2017 21:19","wargrounds",16,"odt",50,29,8672,3894,50,51,2495,"odt",0,0,0,0,4,50,101,203,8,32,221,700,0,0,0,0,22,68,72,106,4,30,39,130,5,50,11,22,2,14,13,95,5,43,90,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.48333333333333,"6/22/2017 16:00","grimdungeons",13,"odt",44,36,6807,4945,41,55,2491,"odt",0,0,0,0,6,41,136,332,4,84,117,140,0,0,0,0,6,52,38,73,17,46,258,560,1,60,3,5,1,16,18,116,0,0,0,0,9,43,20,46,0,0,0,0,0,0,0,0,0,0,0,0,1
9.25,"6/22/2017 15:37","purgatory",12,"odt",50,25,6639,4349,50,50,2487,"odt",2,0,0,0,5,44,123,280,6,36,131,360,1,50,1,2,3,53,18,34,17,43,338,789,3,86,6,7,1,14,8,58,12,38,145,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.43333333333333,"6/22/2017 15:26","hiddenfortress",11,"odt",50,10,7123,1769,50,63,2484,"odt",0,0,0,0,4,45,77,170,11,38,205,540,0,0,0,0,0,0,0,0,19,46,432,946,15,61,23,38,1,29,25,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.08333333333333,"6/21/2017 21:56","almostlost",12,"odt",50,29,5782,4049,50,50,2480,"odt",2,0,0,0,9,50,183,366,6,40,137,340,0,0,0,0,6,49,19,39,21,41,328,803,0,0,0,0,0,6,1,16,6,37,71,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.91666666666667,"6/21/2017 21:47","demonkeep",14,"odt",50,23,7231,3409,50,50,2476,"odt",0,0,0,0,5,47,185,393,9,39,280,720,0,20,1,5,11,54,34,63,9,45,168,377,3,60,3,5,2,23,20,87,11,42,134,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.15,"6/21/2017 21:37","asylum",13,"odt",51,16,6058,2242,50,50,2473,"odt",1,0,0,0,3,58,72,124,10,32,161,500,0,0,0,0,5,65,15,23,20,47,352,754,0,0,0,0,0,0,0,0,12,39,173,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.18333333333333,"6/21/2017 21:31","longestyard",12,"odt",52,22,6854,2700,50,50,2472,"odt",0,0,0,0,17,48,445,928,18,29,338,1160,0,0,0,0,13,66,31,47,0,0,0,0,4,60,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.71666666666667,"6/21/2017 21:23","eviscerated",10,"odt",51,11,6802,2055,50,50,2471,"odt",0,0,0,0,5,43,112,258,4,46,139,300,0,0,0,10,2,50,4,8,38,46,566,1230,0,0,0,0,2,23,15,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.48333333333333,"6/21/2017 21:15","almostlost",12,"odt",50,18,6832,2773,50,50,2468,"odt",1,0,0,0,11,45,142,319,5,39,93,240,1,50,5,10,10,79,30,38,11,31,102,330,1,63,5,8,1,17,4,23,9,39,221,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.71666666666667,"6/21/2017 21:08","campgrounds",18,"odt",53,27,7488,3432,50,50,2462,"odt",1,0,0,0,9,49,320,656,10,36,182,500,0,22,2,9,8,86,24,28,6,49,148,303,3,45,5,11,16,23,96,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.76666666666667,"6/21/2017 18:49","dredwerkz",18,"odt",40,28,6121,3533,40,40,2464,"odt",1,0,0,0,3,46,164,355,5,41,130,320,0,0,0,0,3,44,8,18,9,42,187,442,7,62,8,13,4,19,18,94,5,35,53,151,3,30,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0
5.26666666666667,"6/21/2017 18:41","overkill",18,"odt",51,18,5769,2666,50,50,2458,"odt",0,0,0,0,8,50,206,414,12,24,132,540,0,0,0,0,2,67,6,9,14,42,225,539,0,100,1,1,1,17,19,110,14,44,216,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.55,"6/21/2017 18:34","campgrounds",16,"odt",51,28,6330,3282,50,50,2454,"odt",0,0,0,0,11,45,349,770,18,31,299,960,0,5,1,19,2,57,8,14,15,43,207,482,1,50,2,4,4,18,28,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.55,"6/21/2017 18:26","wargrounds",17,"odt",51,22,7392,2982,50,50,2450,"odt",1,0,0,0,3,42,106,252,12,38,285,760,0,100,1,1,9,70,26,37,12,36,185,518,6,65,13,20,2,9,9,103,6,34,59,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.2,"6/21/2017 18:18","proq3dm6",16,"odt",47,36,6115,4538,46,46,2449,"odt",1,0,0,0,22,46,584,1261,4,44,115,260,0,0,0,3,6,65,17,26,8,35,132,380,2,56,5,9,4,22,19,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.76666666666667,"6/20/2017 19:09","bloodrun",14,"odt",50,15,6542,2521,50,50,2443,"odt",0,0,0,0,1,50,61,122,22,34,384,1140,0,0,0,0,7,67,14,21,11,46,196,426,8,76,13,17,1,20,15,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.08333333333333,"6/20/2017 19:01","overkill",13,"odt",48,27,6208,3784,47,47,2442,"odt",0,0,0,0,4,46,130,285,8,36,180,500,1,15,2,13,6,67,20,30,13,37,228,611,3,43,6,14,5,16,18,111,8,39,143,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.03333333333333,"6/20/2017 18:53","campgrounds",17,"odt",32,27,5588,3395,31,31,2450,"odt",2,0,0,0,3,43,125,290,8,42,236,560,0,0,0,0,3,64,18,28,14,49,347,708,0,0,0,0,2,12,20,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.18333333333333,"6/20/2017 18:48","almostlost",15,"odt",34,26,5471,3217,34,34,2452,"odt",1,0,0,0,9,43,261,603,2,43,34,80,0,0,0,1,6,82,18,22,6,45,167,368,2,50,3,6,8,22,73,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,"6/20/2017 18:41","lostworld",16,"odt",40,22,5152,3217,39,39,2453,"odt",1,0,0,0,10,47,306,648,21,40,388,960,0,0,0,4,6,54,14,26,2,48,48,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.53333333333333,"6/20/2017 18:33","overkill",13,"odt",45,25,6516,3490,45,45,2450,"odt",0,0,0,0,3,47,150,321,12,36,283,780,0,50,1,2,1,50,4,8,8,46,195,424,4,47,7,15,0,18,11,61,17,34,183,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.01666666666667,"6/20/2017 18:26","hiddenfortress",14,"odt",50,21,5943,2908,50,50,2436,"odt",0,0,0,0,3,41,98,240,11,37,198,540,0,0,0,0,1,58,7,12,30,42,528,1256,0,0,0,4,4,20,25,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.73333333333333,"6/20/2017 18:18","grimdungeons",14,"odt",24,28,4158,3796,24,24,2459,"odt",1,0,0,0,8,45,168,376,5,39,139,360,0,0,0,0,3,37,14,38,3,35,130,367,0,75,3,4,0,10,14,137,0,0,0,0,4,38,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0
6.33333333333333,"6/20/2017 17:53","hellsgate",14,"odt",45,34,6373,3996,41,41,2474,"odt",0,0,0,0,16,49,342,704,0,0,0,0,0,0,0,0,20,69,59,86,0,0,0,0,6,50,10,20,3,22,36,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.03333333333333,"6/20/2017 17:45","almostlost",15,"odt",50,17,6676,2598,50,50,2468,"odt",0,0,0,0,10,41,173,421,1,5,1,20,0,20,2,10,4,80,8,10,18,43,338,790,0,0,0,0,6,23,47,202,11,42,107,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.33333333333333,"6/20/2017 17:37","trinity",20,"odt",40,21,5237,2062,40,40,2465,"odt",0,0,0,0,4,45,138,309,2,31,55,180,0,50,1,2,10,79,23,29,17,41,292,710,1,67,2,3,4,33,25,76,2,38,51,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.53333333333333,"6/19/2017 21:33","asylum",12,"odt",53,22,6181,2645,50,50,2463,"odt",0,0,0,0,1,43,97,223,4,49,49,100,0,0,0,0,11,68,32,47,31,40,487,1214,0,0,0,0,1,24,13,55,5,33,63,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.66666666666667,"6/19/2017 21:26","hellsgate",15,"odt",52,24,6842,2861,50,50,2461,"odt",0,0,0,0,15,43,334,768,0,0,0,0,0,0,0,0,26,78,70,90,0,0,0,0,5,62,8,13,6,18,40,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.95,"6/19/2017 21:20","campgroundsvariety",14,"odt",51,12,6401,1954,50,50,2460,"odt",1,0,0,0,4,45,90,199,7,35,125,360,0,0,0,0,13,77,27,35,24,48,541,1124,0,0,0,0,2,22,35,156,0,0,0,0,0,0,0,0,0,60,3,5,0,0,0,0,0,0,0,0,1
4.2,"6/19/2017 21:14","hiddenfortress",11,"odt",50,10,5253,1818,50,50,2457,"odt",0,0,0,0,4,41,82,198,10,25,75,300,0,0,0,0,9,61,17,28,21,44,389,888,0,100,1,1,6,12,22,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.86666666666667,"6/19/2017 21:08","overkill",13,"odt",51,20,6864,2813,50,50,2455,"odt",0,0,0,0,5,45,175,388,8,38,137,360,0,0,0,1,5,73,22,30,16,43,322,756,8,71,12,17,0,0,0,0,9,29,72,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.3,"6/19/2017 21:00","campgroundsvariety",13,"odt",51,24,5986,2757,50,50,2451,"odt",0,0,0,0,6,44,129,296,1,47,28,60,0,0,0,0,12,61,27,44,26,42,502,1201,0,0,0,0,4,20,39,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.85,"6/18/2017 20:42","grimdungeons",17,"odt",39,23,6248,3868,37,37,2455,"odt",1,0,0,0,4,42,117,276,3,28,67,240,0,0,0,0,9,38,30,78,18,48,449,938,2,58,11,19,2,19,10,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2,"6/18/2017 20:30","campgrounds",17,"odt",39,19,5497,2144,39,39,2454,"odt",0,0,0,0,10,47,304,652,8,38,165,440,0,22,2,9,5,52,17,33,12,42,156,375,3,89,8,9,1,20,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.05,"6/18/2017 20:23","bloodrun",19,"odt",42,14,5746,2247,42,42,2453,"odt",0,0,0,0,2,41,81,200,6,33,152,460,0,0,0,0,6,63,17,27,12,44,259,589,9,68,13,19,7,17,58,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.28333333333333,"6/18/2017 20:15","bloodrun",19,"odt",48,19,6461,2553,48,48,2444,"odt",0,0,0,0,8,51,154,304,11,35,308,880,3,46,11,24,12,57,24,42,9,51,124,243,4,70,7,10,1,7,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.83333333333333,"6/18/2017 20:07","heroskeep",19,"odt",48,15,7769,2031,47,47,2446,"odt",0,0,0,0,4,43,150,349,5,47,122,260,0,0,0,0,26,77,72,93,11,48,293,605,1,50,1,2,1,22,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.41666666666667,"6/18/2017 20:00","trinity",18,"odt",51,22,6715,2851,50,50,2439,"odt",0,0,0,0,9,42,175,420,4,21,58,280,0,20,1,5,3,75,9,12,7,51,151,298,5,67,8,12,8,36,57,158,15,42,134,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.61666666666667,"6/18/2017 19:53","sinister",19,"odt",38,21,5783,2646,37,37,2440,"odt",0,0,0,0,8,47,234,498,8,28,182,660,1,29,4,14,12,74,39,53,1,32,32,100,4,43,6,14,4,20,27,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.25,"6/18/2017 19:13","dredwerkz",17,"odt",45,32,6223,4339,45,45,2436,"odt",0,0,0,0,7,44,191,439,11,31,160,520,0,0,0,5,4,44,15,34,7,40,168,424,1,56,5,9,3,34,24,71,2,20,14,69,10,40,31,77,0,0,0,0,0,0,0,0,0,0,0,0,0
6.26666666666667,"6/18/2017 19:03","campgroundsvariety",16,"odt",49,26,6760,3038,49,49,2432,"odt",0,0,0,0,7,42,249,598,10,39,267,680,0,0,0,0,10,74,23,31,13,43,218,503,2,100,4,4,7,18,54,308,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.4,"6/18/2017 18:55","grimdungeons",20,"odt",39,31,6311,4111,38,38,2446,"odt",2,0,0,0,6,41,180,444,6,32,241,760,0,0,0,0,7,48,20,42,9,52,235,454,5,62,8,13,4,23,42,183,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.03333333333333,"6/18/2017 18:47","retribution",21,"odt",51,31,8230,4100,50,50,2440,"odt",2,0,0,0,12,45,431,958,1,47,28,60,0,0,0,0,22,57,66,115,0,0,0,0,8,56,14,25,5,21,13,61,0,24,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.75,"6/18/2017 18:38","asylum",16,"odt",50,22,6190,2813,50,50,2432,"odt",4,0,0,0,13,49,221,454,4,40,88,220,0,0,0,0,10,79,19,24,13,43,269,631,0,0,0,0,1,12,8,66,5,39,110,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.7,"6/18/2017 18:31","theedge",19,"odt",25,30,4598,3920,25,33,2493,"odt",0,0,0,0,7,44,226,517,1,19,46,240,0,33,1,3,4,60,15,25,2,36,45,125,0,0,0,0,0,0,0,0,11,44,269,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.4333333333333,"6/18/2017 16:59","demonkeep",11,"odt",53,22,7729,3805,50,50,2491,"odt",0,0,0,0,3,47,81,173,10,33,202,620,0,0,0,0,8,37,23,62,7,39,136,346,6,71,10,14,4,6,23,394,15,33,135,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.98333333333333,"6/18/2017 16:47","trinity",16,"odt",51,24,5379,2952,50,50,2487,"odt",0,0,0,0,9,44,222,505,4,34,135,400,0,0,0,0,3,50,13,26,12,38,205,533,2,30,3,10,0,0,0,0,19,34,130,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.88333333333333,"6/18/2017 16:38","overkill",16,"odt",52,14,7213,2465,50,50,2485,"odt",1,0,0,0,4,43,112,259,6,35,91,260,0,0,0,0,2,67,6,9,14,47,276,590,5,54,7,13,1,31,23,74,19,33,174,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.75,"6/18/2017 16:31","bloodrun",17,"odt",53,26,7652,3398,50,50,2481,"odt",0,0,0,0,5,44,185,421,14,30,186,620,1,21,3,14,7,54,20,37,20,47,393,828,2,75,3,4,4,13,35,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.88333333333333,"6/18/2017 16:23","almostlost",19,"odt",48,15,6760,2130,47,47,2486,"odt",0,0,0,0,8,44,179,409,2,40,16,40,0,0,0,0,12,78,32,41,25,42,390,934,0,0,0,1,0,0,0,0,1,38,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.06666666666667,"6/18/2017 16:16","bloodrun",18,"odt",34,17,4152,2378,34,58,2483,"odt",0,0,0,0,3,40,58,145,8,33,157,480,0,31,4,13,5,54,19,35,12,40,163,403,4,82,9,11,2,10,6,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.68333333333333,"6/18/2017 15:40","heroskeep",12,"odt",50,19,6541,3030,50,50,2480,"odt",3,0,0,0,8,43,144,336,7,22,95,440,0,0,0,0,5,87,13,15,14,38,193,514,7,48,10,21,6,18,44,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.18333333333333,"6/18/2017 15:32","hiddenfortress",14,"odt",50,18,6772,2657,50,50,2482,"odt",0,0,0,0,10,45,209,464,9,25,172,700,0,100,2,2,4,39,14,36,22,40,484,1198,2,60,3,5,3,19,25,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.15,"6/18/2017 14:28","solarium",12,"odt",52,24,6829,2568,50,50,2478,"odt",0,0,0,0,14,46,308,670,11,36,218,600,0,11,1,9,1,100,3,3,17,45,314,691,5,74,14,19,4,16,19,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.1,"6/18/2017 14:19","retribution",14,"odt",46,24,5849,3229,46,46,2485,"odt",1,0,0,0,8,44,219,499,0,30,6,20,0,0,0,0,14,52,41,79,0,0,0,0,4,63,10,16,4,20,28,140,15,37,138,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0166666666667,"6/18/2017 8:49","totallylost",6,"odt",52,22,9655,5625,49,49,2484,"odt",0,0,0,0,2,43,99,230,22,35,409,1160,0,0,0,10,22,37,80,218,5,42,176,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.2666666666667,"6/18/2017 8:33","wargrounds",7,"odt",55,23,9653,4151,50,50,2482,"odt",0,0,0,0,3,43,42,98,10,37,156,420,0,0,0,4,27,55,94,171,3,35,48,138,6,57,13,23,2,12,15,127,4,36,80,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.05,"6/17/2017 21:36","hiddenfortress",11,"odt",51,22,7178,3234,50,50,2481,"odt",0,0,0,0,3,44,103,236,8,38,165,440,0,0,0,0,13,61,41,67,20,41,402,983,2,75,6,8,5,19,43,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.91666666666667,"6/17/2017 21:27","almostlost",12,"odt",50,18,7127,2590,50,50,2479,"odt",0,0,0,0,6,48,178,369,4,39,62,160,0,0,0,0,15,64,39,61,15,40,215,532,0,0,0,4,2,22,17,78,8,36,72,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
