ItemID,game-field,Date,Map,Nick,Time,Kills,Deaths,Damage Dealt,Damage Taken,Score,Perf,Old Glicko,Glicko Change,UnknownHeader,2,GT,MG,SG,GL,RL,LG,RG,PG,HMG,BFG,PM,CG,NG
1018,view,2017-05-10 20:48:38,dredwerkz,Steneub,0:03:17,4,13,789,1560,4,,,,,,,,,,,,,,,,,,
1019,view,2017-05-10 20:48:38,dredwerkz,Xphelio,0:02:13,1,8,280,1024,0,,,,,,,,,,,,,,,,,,
1020,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,odt,"Kills / Acc

Hits / Shots",,"1 / 64%

67 / 104","2 / 22%

43 / 200",,"11 / 66%

21 / 32","3 / 48%

64 / 132","11 / 75%

18 / 24","1 / 19%

8 / 43","17 / 36%

210 / 582","5 / 52%

14 / 27",,,
1021,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,roast,"Kills / Acc

Hits / Shots",,"1 / 32%

39 / 122","6 / 36%

201 / 560","0 / 0%

0 / 1","0 / 60%

3 / 5",,"2 / 33%

2 / 6","4 / 26%

31 / 118","2 / 38%

28 / 74","30 / 57%

70 / 122",,,
1022,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,Drax,"Kills / Acc

Hits / Shots","1 / 0%

0 / 0","2 / 18%

61 / 335","10 / 29%

218 / 760","0 / 0%

0 / 1","2 / 30%

7 / 23","4 / 36%

66 / 183","7 / 43%

17 / 40","5 / 17%

37 / 220","0 / 23%

23 / 100","3 / 26%

9 / 34",,,
1023,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,ToySxldier,"Kills / Acc

Hits / Shots","1 / 0%

0 / 0","0 / 25%

23 / 92","8 / 30%

148 / 500","0 / 29%

7 / 24","8 / 58%

15 / 26","2 / 30%

39 / 129","4 / 64%

7 / 11","2 / 17%

18 / 104",,,,,
1024,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,R.J. McReady,"Kills / Acc

Hits / Shots","4 / 0%

0 / 0","0 / 34%

42 / 122","2 / 31%

55 / 180","5 / 29%

9 / 31","6 / 68%

13 / 19","3 / 36%

73 / 202","2 / 37%

7 / 19","3 / 22%

21 / 95",,,,,
1025,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,Uriah,"Kills / Acc

Hits / Shots",,"1 / 32%

76 / 236","4 / 25%

114 / 460","0 / 0%

0 / 1","2 / 50%

6 / 12","0 / 26%

12 / 46","4 / 78%

7 / 9","7 / 27%

30 / 110",,"1 / 36%

5 / 14",,,
1026,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,Storm,"Kills / Acc

Hits / Shots",,"1 / 14%

30 / 220","3 / 28%

68 / 240","0 / 0%

0 / 2","3 / 27%

7 / 26","5 / 19%

79 / 408","2 / 42%

10 / 24","3 / 32%

17 / 53","1 / 23%

20 / 87",,,,
1027,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,trexjff,"Kills / Acc

Hits / Shots",,"0 / 16%

63 / 406","0 / 11%

34 / 320","3 / 17%

10 / 58","9 / 36%

14 / 39",,"5 / 50%

10 / 20","1 / 11%

15 / 135",,"0 / 0%

0 / 2",,,
1028,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,chris420,"Kills / Acc

Hits / Shots","1 / 0%

0 / 0","0 / 12%

22 / 181","1 / 11%

28 / 260","3 / 29%

7 / 24","3 / 22%

4 / 18","1 / 22%

80 / 369","3 / 33%

3 / 9","2 / 10%

13 / 133",,"2 / 16%

6 / 37",,,
1029,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,Reaction,"Kills / Acc

Hits / Shots",,"4 / 30%

97 / 328","6 / 25%

117 / 460","2 / 12%

2 / 17","2 / 25%

3 / 12",,"3 / 46%

6 / 13","0 / 10%

3 / 30",,,,,
1030,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,cron,"Kills / Acc

Hits / Shots",,"0 / 25%

84 / 340","7 / 21%

142 / 680","7 / 33%

15 / 45","3 / 50%

5 / 10","0 / 19%

4 / 21","0 / 10%

1 / 10","0 / 40%

4 / 10",,"0 / 11%

2 / 18",,,
1031,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,CosmicDust,"Kills / Acc

Hits / Shots","1 / 0%

0 / 0","1 / 18%

71 / 397","1 / 13%

34 / 260","2 / 22%

6 / 27","0 / 0%

0 / 1","2 / 26%

68 / 257","1 / 67%

2 / 3","1 / 15%

20 / 137","1 / 26%

14 / 54","5 / 15%

13 / 86",,,
1032,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,WhackyMacky,"Kills / Acc

Hits / Shots",,"4 / 35%

145 / 411","1 / 26%

26 / 100","2 / 43%

3 / 7","5 / 69%

11 / 16","2 / 40%

66 / 164","2 / 75%

3 / 4","1 / 22%

17 / 77",,,,,
1033,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,Drak0XD,"Kills / Acc

Hits / Shots","3 / 0%

0 / 0","0 / 25%

20 / 81","5 / 21%

173 / 820","0 / 8%

1 / 13","4 / 58%

7 / 12","1 / 20%

50 / 250","0 / 20%

1 / 5","0 / 0%

0 / 7",,"1 / 55%

6 / 11",,,
1034,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,d0rkchampion,"Kills / Acc

Hits / Shots",,"1 / 39%

59 / 153","2 / 18%

43 / 240",,"2 / 75%

6 / 8","3 / 43%

94 / 219","2 / 60%

6 / 10","0 / 0%

0 / 9","1 / 36%

17 / 47",,,,
1035,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,Steneub,"Kills / Acc

Hits / Shots",,"0 / 22%

41 / 186","1 / 19%

31 / 160","1 / 6%

1 / 18","1 / 67%

2 / 3",,"1 / 67%

2 / 3",,,,,,
1036,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,GANK,"Kills / Acc

Hits / Shots",,"2 / 17%

149 / 898","0 / 11%

16 / 140","0 / 100%

1 / 1","0 / 25%

1 / 4","0 / 25%

4 / 16",,"0 / 9%

3 / 32","0 / 10%

8 / 78","1 / 10%

1 / 10",,,
1037,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,Blazer,"Kills / Acc

Hits / Shots",,"1 / 6%

12 / 200","0 / 13%

25 / 200",,,,"0 / 40%

2 / 5",,,,,,
1038,view,2017-05-10 20:48:38,dredwerkz,,,,,,,,,,,Xphelio,"Kills / Acc

Hits / Shots",,"0 / 18%

21 / 120","1 / 16%

28 / 180",,,,"0 / 0%

0 / 3",,,,,,
1039,view,2017-05-10 20:40:04,campgroundsvariety,odt,0:03:53,51,14,5133,1801,50,50,2486 ± 34,1 / 0,,,,,,,,,,,,,,,
1040,view,2017-05-10 20:40:04,campgroundsvariety,roast,0:03:53,28,18,4213,2404,28,28,2085 ± 30,3 / 0,,,,,,,,,,,,,,,
1041,view,2017-05-10 20:40:04,campgroundsvariety,BIGPojo,0:03:53,20,17,2797,1946,19,19,1762 ± 30,5 / 0,,,,,,,,,,,,,,,
1042,view,2017-05-10 20:40:04,campgroundsvariety,Goat,0:03:53,19,16,3270,1868,19,19,1876 ± 38,0 / -1,,,,,,,,,,,,,,,
1043,view,2017-05-10 20:40:04,campgroundsvariety,R.J. McReady,0:03:53,19,18,2321,1987,19,19,1711 ± 30,8 / 0,,,,,,,,,,,,,,,
1044,view,2017-05-10 20:40:04,campgroundsvariety,Drak0XD,0:03:53,16,15,2176,1923,16,16,1445 ± 30,9 / 0,,,,,,,,,,,,,,,
1045,view,2017-05-10 20:40:04,campgroundsvariety,trexjff,0:03:53,15,19,2200,2267,15,15,1374 ± 30,13 / 0,,,,,,,,,,,,,,,
1046,view,2017-05-10 20:40:04,campgroundsvariety,Storm,0:03:53,14,17,2018,2102,14,14,1406 ± 34,11 / -1,,,,,,,,,,,,,,,
1047,view,2017-05-10 20:40:04,campgroundsvariety,Reaction,0:03:53,12,15,2138,1693,12,12,1106 ± 37,22 / -1,,,,,,,,,,,,,,,
1048,view,2017-05-10 20:40:04,campgroundsvariety,chris420,0:03:53,12,21,2053,2435,11,11,1272 ± 30,3 / 0,,,,,,,,,,,,,,,
1049,view,2017-05-10 20:40:04,campgroundsvariety,Uriah,0:03:53,11,16,2128,1972,11,11,1515 ± 31,-13 / -1,,,,,,,,,,,,,,,
1050,view,2017-05-10 20:40:04,campgroundsvariety,WhackyMacky,0:03:29,10,17,1872,2059,10,11,1098 ± 51,34 / -3,,,,,,,,,,,,,,,
1051,view,2017-05-10 20:40:04,campgroundsvariety,CosmicDust,0:03:53,11,24,1905,2753,8,8,1715 ± 30,-41 / 0,,,,,,,,,,,,,,,
1052,view,2017-05-10 20:40:04,campgroundsvariety,GANK,0:03:53,8,16,1035,2001,7,7,931 ± 63,13 / -4,,,,,,,,,,,,,,,
1053,view,2017-05-10 20:40:04,campgroundsvariety,cron,0:03:53,8,16,1499,2102,7,7,1288 ± 34,-19 / -1,,,,,,,,,,,,,,,
1054,view,2017-05-10 20:40:04,campgroundsvariety,Blazer,0:03:53,5,14,706,1580,4,4,1066 ± 32,-15 / -1,,,,,,,,,,,,,,,
1055,view,2017-05-10 20:40:04,campgroundsvariety,Drax,0:01:25,10,7,1252,734,10,,,,,,,,,,,,,,,,,,
1056,view,2017-05-10 20:40:04,campgroundsvariety,declownman,0:00:59,6,4,667,393,6,,,,,,,,,,,,,,,,,,
1057,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,odt,"Kills / Acc

Hits / Shots",,"3 / 54%

89 / 165","10 / 38%

128 / 340",,"6 / 75%

12 / 16","22 / 45%

280 / 628",,"10 / 25%

70 / 283",,,,,
1058,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,roast,"Kills / Acc

Hits / Shots",,"0 / 30%

66 / 222","6 / 32%

116 / 360",,"10 / 59%

23 / 39","5 / 25%

87 / 342",,"5 / 21%

32 / 152",,,"2 / 60%

6 / 10",,
1059,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,BIGPojo,"Kills / Acc

Hits / Shots","1 / 0%

0 / 0","3 / 31%

90 / 290","5 / 23%

90 / 400",,"3 / 63%

15 / 24","3 / 34%

69 / 202","0 / 0%

0 / 2","5 / 18%

38 / 215",,,,,
1060,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,Goat,"Kills / Acc

Hits / Shots","2 / 0%

0 / 0","4 / 35%

165 / 465","6 / 32%

122 / 380",,"5 / 86%

18 / 21",,,"2 / 23%

22 / 95",,,,,
1061,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,R.J. McReady,"Kills / Acc

Hits / Shots",,"2 / 22%

48 / 218","5 / 23%

55 / 240",,"4 / 78%

14 / 18","0 / 21%

30 / 145","1 / 40%

2 / 5","7 / 24%

62 / 261",,,,,
1062,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,Drak0XD,"Kills / Acc

Hits / Shots","1 / 0%

0 / 0","2 / 24%

48 / 200","1 / 13%

13 / 100",,"5 / 64%

16 / 25","0 / 13%

25 / 186","1 / 60%

3 / 5","5 / 18%

27 / 147",,,"1 / 67%

4 / 6",,
1063,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,trexjff,"Kills / Acc

Hits / Shots",,"4 / 17%

116 / 689","0 / 16%

35 / 220",,"8 / 47%

17 / 36","0 / 15%

8 / 55",,"3 / 12%

32 / 263",,,,,
1064,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,Storm,"Kills / Acc

Hits / Shots",,"2 / 15%

46 / 304","1 / 12%

7 / 60",,"4 / 43%

15 / 35","1 / 18%

18 / 99","2 / 31%

5 / 16","4 / 18%

40 / 220",,,,,
1065,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,Reaction,"Kills / Acc

Hits / Shots",,"2 / 35%

136 / 386","1 / 25%

60 / 240",,"0 / 0%

0 / 1","1 / 31%

13 / 42","5 / 56%

9 / 16","3 / 19%

19 / 100",,,,,
1066,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,chris420,"Kills / Acc

Hits / Shots",,"2 / 18%

69 / 384","1 / 28%

17 / 60",,"5 / 35%

16 / 46","0 / 22%

20 / 89","0 / 0%

0 / 4","4 / 10%

25 / 241",,,,,
1067,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,Uriah,"Kills / Acc

Hits / Shots","1 / 0%

0 / 0","2 / 36%

121 / 339","5 / 30%

156 / 520",,"1 / 50%

2 / 4",,"2 / 58%

7 / 12","0 / 18%

2 / 11",,,,,
1068,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,Drax,"Kills / Acc

Hits / Shots","1 / 0%

0 / 0","1 / 25%

47 / 189","3 / 41%

57 / 140",,"2 / 46%

6 / 13","3 / 26%

18 / 69",,"0 / 12%

4 / 34",,,,,
1069,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,WhackyMacky,"Kills / Acc

Hits / Shots",,"2 / 40%

71 / 176","2 / 25%

20 / 80",,"2 / 50%

8 / 16","1 / 48%

24 / 50","3 / 59%

10 / 17","0 / 13%

2 / 15",,,,,
1070,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,CosmicDust,"Kills / Acc

Hits / Shots",,"2 / 16%

77 / 488","0 / 38%

30 / 80",,"1 / 100%

1 / 1","5 / 34%

115 / 342","1 / 50%

1 / 2","2 / 22%

31 / 141",,,"0 / 0%

0 / 3",,
1071,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,cron,"Kills / Acc

Hits / Shots",,"3 / 26%

91 / 348","2 / 19%

93 / 480",,"2 / 75%

3 / 4","1 / 22%

23 / 105","0 / 18%

2 / 11","0 / 0%

0 / 6",,,"0 / 33%

1 / 3",,
1072,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,GANK,"Kills / Acc

Hits / Shots",,"6 / 17%

134 / 793","1 / 27%

48 / 180",,"1 / 27%

3 / 11","0 / 13%

3 / 24","0 / 0%

0 / 4",,,,,,
1073,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,declownman,"Kills / Acc

Hits / Shots",,"2 / 50%

59 / 118",,,"3 / 90%

9 / 10",,,"1 / 17%

5 / 30",,,,,
1074,view,2017-05-10 20:40:04,campgroundsvariety,,,,,,,,,,,Blazer,"Kills / Acc

Hits / Shots",,"4 / 20%

111 / 557","1 / 22%

22 / 100",,,"0 / 13%

11 / 85",,,,,,,
1075,view,2017-05-10 20:34:22,hellsgate,odt,0:04:45,52,27,5888,3467,50,50,2484 ± 34,1 / 0,,,,,,,,,,,,,,,
1076,view,2017-05-10 20:34:22,hellsgate,BIGPojo,0:04:45,38,24,5218,2765,38,38,1745 ± 30,18 / 0,,,,,,,,,,,,,,,
1077,view,2017-05-10 20:34:22,hellsgate,roast,0:04:45,39,25,5546,3252,36,36,2088 ± 31,-3 / 0,,,,,,,,,,,,,,,
1078,view,2017-05-10 20:34:22,hellsgate,R.J. McReady,0:04:45,35,25,4691,2818,34,34,1697 ± 30,13 / 0,,,,,,,,,,,,,,,
1079,view,2017-05-10 20:34:22,hellsgate,ghost,0:04:45,34,27,4404,3208,34,34,1818 ± 30,6 / 0,,,,,,,,,,,,,,,
1080,view,2017-05-10 20:34:22,hellsgate,CosmicDust,0:04:45,27,28,4267,3313,27,27,1713 ± 30,3 / 0,,,,,,,,,,,,,,,
1081,view,2017-05-10 20:34:22,hellsgate,Goat,0:04:45,26,25,4297,2842,24,24,1902 ± 39,-26 / -1,,,,,,,,,,,,,,,
1082,view,2017-05-10 20:34:22,hellsgate,Uriah,0:04:45,23,23,3101,2657,23,23,1504 ± 32,11 / -1,,,,,,,,,,,,,,,
1083,view,2017-05-10 20:34:22,hellsgate,Heaphonefox,0:03:50,14,22,2161,2562,14,17,1425 ± 49,14 / -4,,,,,,,,,,,,,,,
1084,view,2017-05-10 20:34:22,hellsgate,Storm,0:04:45,19,27,3528,3218,16,16,1406 ± 35,0 / -1,,,,,,,,,,,,,,,
1085,view,2017-05-10 20:34:22,hellsgate,Drak0XD,0:04:45,16,26,3407,3050,15,15,1454 ± 32,-9 / -1,,,,,,,,,,,,,,,
1086,view,2017-05-10 20:34:22,hellsgate,GANK,0:04:45,16,29,1572,3475,15,15,849 ± 64,82 / -2,,,,,,,,,,,,,,,
1087,view,2017-05-10 20:34:22,hellsgate,chris420,0:04:45,15,30,2589,3484,14,14,1273 ± 30,-2 / 0,,,,,,,,,,,,,,,
1088,view,2017-05-10 20:34:22,hellsgate,gank.in,0:04:45,16,24,2986,2873,13,13,1485 ± 40,-30 / -2,,,,,,,,,,,,,,,
1089,view,2017-05-10 20:34:22,hellsgate,cron,0:03:18,10,19,1964,2302,9,13,1302 ± 35,-14 / -1,,,,,,,,,,,,,,,
1090,view,2017-05-10 20:34:22,hellsgate,trexjff,0:04:45,12,27,2902,3262,12,12,1391 ± 31,-17 / -1,,,,,,,,,,,,,,,
1091,view,2017-05-10 20:34:22,hellsgate,Reaction,0:01:04,4,5,805,632,3,,,,,,,,,,,,,,,,,,
1092,view,2017-05-10 20:34:22,hellsgate,the claw,0:00:22,0,2,90,294,0,,,,,,,,,,,,,,,,,,
1093,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,odt,"Kills / Acc

Hits / Shots","5 / 0%

0 / 0","21 / 52%

375 / 725",,,"16 / 92%

36 / 39",,"5 / 75%

9 / 12","5 / 24%

37 / 152",,,,,
1094,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,BIGPojo,"Kills / Acc

Hits / Shots",,"11 / 39%

233 / 591",,,"17 / 60%

37 / 62",,"7 / 57%

12 / 21","3 / 22%

24 / 111",,,,,
1095,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,roast,"Kills / Acc

Hits / Shots",,"7 / 28%

144 / 508",,,"15 / 76%

45 / 59",,"7 / 55%

17 / 31","10 / 22%

56 / 259",,,,,
1096,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,R.J. McReady,"Kills / Acc

Hits / Shots","2 / 0%

0 / 0","6 / 32%

167 / 514",,,"10 / 72%

26 / 36",,"3 / 86%

6 / 7","14 / 22%

89 / 413",,,,,
1097,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,ghost,"Kills / Acc

Hits / Shots","8 / 0%

0 / 0","1 / 13%

20 / 151",,,"13 / 64%

38 / 59",,"4 / 35%

8 / 23","8 / 21%

61 / 293",,,,,
1098,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,CosmicDust,"Kills / Acc

Hits / Shots",,"6 / 25%

151 / 610",,,"13 / 58%

32 / 55",,"6 / 48%

13 / 27","2 / 25%

26 / 102",,,,,
1099,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,Goat,"Kills / Acc

Hits / Shots","3 / 0%

0 / 0","7 / 36%

143 / 402",,,"13 / 60%

30 / 50",,"0 / 22%

5 / 23","3 / 21%

35 / 163",,,,,
1100,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,Uriah,"Kills / Acc

Hits / Shots",,"7 / 26%

150 / 573",,,"7 / 65%

20 / 31",,"1 / 50%

2 / 4","8 / 24%

68 / 285",,,,,
1101,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,Storm,"Kills / Acc

Hits / Shots","5 / 0%

0 / 0","2 / 24%

108 / 448",,,"6 / 56%

24 / 43",,"2 / 31%

4 / 13","4 / 14%

32 / 233",,,,,
1102,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,Drak0XD,"Kills / Acc

Hits / Shots","3 / 0%

0 / 0","4 / 31%

64 / 206",,,"5 / 70%

28 / 40",,"2 / 42%

5 / 12","2 / 15%

36 / 238",,,,,
1103,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,GANK,"Kills / Acc

Hits / Shots",,"12 / 19%

259 / 1382",,,"2 / 43%

3 / 7",,"1 / 25%

1 / 4","1 / 5%

10 / 187",,,,,
1104,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,chris420,"Kills / Acc

Hits / Shots","2 / 0%

0 / 0","2 / 20%

102 / 519",,,"6 / 46%

22 / 48",,"2 / 24%

4 / 17","3 / 10%

14 / 141",,,,,
1105,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,Heaphonefox,"Kills / Acc

Hits / Shots",,"3 / 30%

145 / 487",,,"4 / 48%

13 / 27",,"3 / 67%

4 / 6","4 / 16%

26 / 163",,,,,
1106,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,gank.in,"Kills / Acc

Hits / Shots",,"3 / 39%

126 / 327",,,"3 / 86%

12 / 14",,"2 / 29%

5 / 17","8 / 16%

76 / 464",,,,,
1107,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,trexjff,"Kills / Acc

Hits / Shots",,"1 / 23%

160 / 704",,,"1 / 55%

12 / 22",,"6 / 33%

12 / 36","4 / 13%

28 / 221",,,,,
1108,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,cron,"Kills / Acc

Hits / Shots",,"1 / 21%

123 / 579",,,"2 / 27%

6 / 22",,"3 / 50%

3 / 6","4 / 19%

44 / 236",,,,,
1109,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,Reaction,"Kills / Acc

Hits / Shots",,"0 / 35%

29 / 84",,,"1 / 67%

4 / 6",,,"3 / 19%

32 / 171",,,,,
1110,view,2017-05-10 20:34:22,hellsgate,,,,,,,,,,,the claw,"Kills / Acc

Hits / Shots",,"0 / 16%

8 / 50",,,,,,,,,,,
1111,view,2017-05-10 20:28:49,trinity,s t v,0:05:30,51,19,8425,2325,50,50,2343 ± 32,3 / 0,,,,,,,,,,,,,,,
1112,view,2017-05-10 20:28:49,trinity,odt,0:05:30,48,18,5544,2751,48,48,2485 ± 34,-1 / 0,,,,,,,,,,,,,,,
1113,view,2017-05-10 20:28:49,trinity,CosmicDust,0:05:30,29,30,3947,3659,25,25,1693 ± 30,19 / 0,,,,,,,,,,,,,,,
1114,view,2017-05-10 20:28:49,trinity,BIGPojo,0:05:30,23,26,3369,3058,21,21,1743 ± 31,2 / -1,,,,,,,,,,,,,,,
1115,view,2017-05-10 20:28:49,trinity,R.J. McReady,0:05:30,22,23,2730,2706,21,21,1693 ± 30,5 / 0,,,,,,,,,,,,,,,
1116,view,2017-05-10 20:28:49,trinity,ghost,0:05:30,21,24,3686,2772,21,21,1821 ± 30,-3 / 0,,,,,,,,,,,,,,,
1117,view,2017-05-10 20:28:49,trinity,Drak0XD,0:05:30,20,15,2784,1989,19,19,1428 ± 33,26 / -1,,,,,,,,,,,,,,,
1118,view,2017-05-10 20:28:49,trinity,Goat,0:05:30,20,22,3421,2557,19,19,1916 ± 41,-14 / -1,,,,,,,,,,,,,,,
1119,view,2017-05-10 20:28:49,trinity,chris420,0:05:30,16,24,2314,2720,16,16,1263 ± 30,10 / 0,,,,,,,,,,,,,,,
1120,view,2017-05-10 20:28:49,trinity,Uriah,0:03:23,10,12,1548,1595,10,16,1510 ± 33,-6 / -1,,,,,,,,,,,,,,,
1121,view,2017-05-10 20:28:49,trinity,trexjff,0:05:30,17,22,2667,2436,15,15,1391 ± 32,1 / -1,,,,,,,,,,,,,,,
1122,view,2017-05-10 20:28:49,trinity,x_abyss,0:05:30,16,21,2353,2643,15,15,1565 ± 30,-11 / 0,,,,,,,,,,,,,,,
1123,view,2017-05-10 20:28:49,trinity,gank.in,0:05:30,15,21,3042,2383,13,13,1508 ± 42,-23 / -2,,,,,,,,,,,,,,,
1124,view,2017-05-10 20:28:49,trinity,Storm,0:03:18,6,13,1355,1724,5,8,1434 ± 37,-28 / -2,,,,,,,,,,,,,,,
1125,view,2017-05-10 20:28:49,trinity,the claw,0:05:30,7,26,892,3164,7,7,1003 ± 55,-6 / -2,,,,,,,,,,,,,,,
1126,view,2017-05-10 20:28:49,trinity,GANK,0:05:30,6,35,1053,4201,5,5,851 ± 67,-2 / -2,,,,,,,,,,,,,,,
1127,view,2017-05-10 20:28:49,trinity,roast,0:01:23,12,5,1520,696,12,,,,,,,,,,,,,,,,,,
1128,view,2017-05-10 20:28:49,trinity,,,,,,,,,,,s t v,"Kills / Acc

Hits / Shots",,"5 / 41%

213 / 517","6 / 47%

141 / 300",,"7 / 52%

28 / 54","8 / 46%

164 / 353","8 / 59%

16 / 27",,"17 / 28%

133 / 473",,,,
1129,view,2017-05-10 20:28:49,trinity,,,,,,,,,,,odt,"Kills / Acc

Hits / Shots",,"4 / 44%

108 / 248","8 / 33%

150 / 460","0 / 0%

0 / 2","6 / 82%

9 / 11","11 / 46%

214 / 461","9 / 59%

13 / 22",,"10 / 38%

76 / 202",,,,
